序号,频道名称,tvg-id,tvg-name,Logo链接,频道分类,播放地址,分辨率
1,CCTV1综合,CCTV1,CCTV1,CCTV1.png,央视,233.50.201.118:5140,1920x1080
2,CCTV2财经,CCTV2,CCTV2,CCTV2.png,央视,233.50.201.119:5140,1920x1080
3,CCTV3综艺,CCTV3,CCTV3,CCTV3.png,央视,233.50.201.196:5140,1920x1080
4,CCTV4中文国际,CCTV4,CCTV4,CCTV3.png,央视,233.50.200.101:5140,1920x1080
5,CCTV5体育,CCTV5,CCTV5,CCTV5.png,央视,233.50.201.197:5140,1920x1080
6,CCTV5+体育赛事,CCTV5+,CCTV5+,CCTV5+.png,央视,233.50.201.220:5140,1920x1080
7,CCTV6电影,CCTV6,CCTV6,CCTV6.png,央视,233.50.201.198:5140,1920x1080
8,CCTV7国防军事,CCTV7,CCTV7,CCTV7.png,央视,233.50.201.120:5140,1920x1080
9,CCTV8电视剧,CCTV8,CCTV8,CCTV8.png,央视,233.50.201.199:5140,1920x1080
10,CCTV9纪录,CCTV9,CCTV9,CCTV9.png,央视,233.50.201.121:5140,1920x1080
11,CCTV10科教,CCTV10,CCTV10,CCTV10.png,央视,233.50.201.122:5140,1920x1080
12,CCTV11戏曲,CCTV11,CCTV11,CCTV11.png,央视,233.50.200.132:5140,1920x1080
13,CCTV12社会与法,CCTV12,CCTV12,CCTV12.png,央视,233.50.201.123:5140,1920x1080
14,CCTV13新闻,CCTV13,CCTV13,CCTV13.png,央视,233.50.201.246:5140,1920x1080
15,CCTV14少儿,CCTV14,CCTV14,CCTV14.png,央视,233.50.201.124:5140,1920x1080
16,CCTV15音乐,CCTV15,CCTV15,CCTV15.png,央视,233.50.200.133:5140,1920x1080
17,CCTV16奥林匹克,CCTV16,CCTV16,CCTV16.png,央视,233.50.201.63:5140,3840x2160
18,CCTV16奥林匹克,CCTV16,CCTV16,CCTV16.png,央视,233.50.201.192:5140,1920x1080
19,CCTV17农业农村,CCTV17,CCTV17,CCTV17.png,央视,233.50.200.113:5140,1920x1080
20,浙江卫视,浙江卫视,浙江卫视,zhejiang.png,卫视,233.50.201.100:5140,1920x1080
21,深圳卫视,深圳卫视,深圳卫视,shenzhen.png,卫视,233.50.201.101:5140,1920x1080
22,广东卫视,广东卫视,广东卫视,guangdong.png,卫视,233.50.201.102:5140,1920x1080
23,湖南卫视,湖南卫视,湖南卫视,hunan.png,卫视,233.50.201.103:5140,1920x1080
24,天津卫视,天津卫视,天津卫视,tianjin.png,卫视,233.50.201.104:5140,1920x1080
25,山东卫视,山东卫视,山东卫视,shandong.png,卫视,233.50.201.105:5140,1920x1080
26,江苏卫视,江苏卫视,江苏卫视,jiangsu.png,卫视,233.50.201.106:5140,1920x1080
27,北京卫视4K,北京卫视,北京卫视,beijing.png,卫视,233.50.202.100:5140,3840x2160
28,北京卫视,北京卫视,北京卫视,beijing.png,卫视,233.50.201.107:5140,1920x1080
29,BRTV-纪实科教,纪实科教,纪实科教,,卫视,233.50.202.34:5140,1920x1080
30,四川卫视,四川卫视,四川卫视,sichuan.png,卫视,233.50.201.139:5140,1920x1080
31,河北卫视,河北卫视,河北卫视,hebei.png,卫视,233.50.201.140:5140,1920x1080
32,辽宁卫视,辽宁卫视,辽宁卫视,liaoning.png,卫视,233.50.201.141:5140,1920x1080
33,贵州卫视,贵州卫视,贵州卫视,guizhou.png,卫视,233.50.201.142:5140,1920x1080
34,重庆卫视,重庆卫视,重庆卫视,chongqing.png,卫视,233.50.201.143:5140,1920x1080
35,河南卫视,河南卫视,河南卫视,henan.png,卫视,233.50.201.144:5140,1920x1080
36,江西卫视,江西卫视,江西卫视,jiangxi.png,卫视,233.50.201.145:5140,1920x1080
37,东南卫视,东南卫视,东南卫视,dongnan.png,卫视,233.50.201.146:5140,1920x1080
38,安徽卫视,安徽卫视,安徽卫视,anhui.png,卫视,233.50.201.113:5140,1920x1080
39,湖北卫视,湖北卫视,湖北卫视,hubei.png,卫视,233.50.201.114:5140,1920x1080
40,黑龙江卫视,黑龙江卫视,黑龙江卫视,heilongjiang.png,卫视,233.50.201.115:5140,1920x1080
41,东方卫视,东方卫视,东方卫视,dongfang.png,卫视,233.50.201.125:5140,1920x1080
42,甘肃卫视,甘肃卫视,甘肃卫视,gansu.png,卫视,233.50.200.163:5140,1920x1080
43,海南卫视,海南卫视,海南卫视,hainan.png,卫视,233.50.200.165:5140,1920x1080
44,广西卫视,广西卫视,广西卫视,guangxi.png,卫视,233.50.200.136:5140,1920x1080
45,云南卫视,云南卫视,云南卫视,yunnan.png,卫视,233.50.200.115:5140,1920x1080
46,吉林卫视,吉林卫视,吉林卫视,jilin.png,卫视,233.50.202.42:5140,1920x1080
47,三沙卫视,三沙卫视,三沙卫视,sansha.png,卫视,233.50.200.175:5140,1920x1080
48,内蒙古卫视,内蒙古卫视,内蒙古卫视,neimeng.png,卫视,233.50.201.148:5140,720x576
49,卡酷少儿,卡酷少儿,卡酷少儿,sansha.png,卫视,233.50.200.166:5140,1920x1080
50,哈哈炫动,哈哈炫动,哈哈炫动,xuandong.png,卫视,233.50.200.167:5140,1920x1080
51,中国教育1台,中国教育1台,中国教育1台,,卫视,233.50.200.169:5140,1920x1080
52,中国教育4台,中国教育4台,中国教育4台,,卫视,233.50.200.162:5140,1920x1080
53,青海卫视,青海卫视,青海卫视,qinghai.png,卫视,233.50.201.65:5140,720x576
54,西藏卫视,西藏卫视,西藏卫视,xizang.png,卫视,233.50.201.70:5140,720x576
55,陕西卫视,陕西卫视,陕西卫视,shanxi.png,卫视,233.50.201.59:5140,720x576
56,兵团卫视,兵团卫视,兵团卫视,bingtuan.png,卫视,233.50.201.72:5140,720x576
57,山西卫视,山西卫视,山西卫视,shanxi_.png,卫视,233.50.201.51:5140,720x576
58,宁夏卫视,宁夏卫视,宁夏卫视,ningxia.png,卫视,233.50.201.57:5140,720x576
59,延边卫视,延边卫视,延边卫视,ningxia.png,卫视,233.50.200.184:5140,720x576
60,金鹰卡通,金鹰卡通,金鹰卡通,jinyingkatong.png,卫视,233.50.201.73:5140,720x576
61,凤凰卫视中文,凤凰卫视中文,凤凰卫视中文,fenghuangzhongwen.png,卫视,233.50.202.35:5140,1920x1080
62,凤凰卫视资讯,凤凰卫视资讯,凤凰卫视资讯,fenghuangzixun.png,卫视,233.50.202.36:5140,1920x1080
63,CGTN,CGTN,CGTN,cgtn.png,国际,233.50.201.126:5140,720x576
64,CGTN西班牙语,CGTN西语,CGTN西语,cgtn.png,国际,233.50.201.36:5140,720x576
65,CGTN法语,CGTN法语,CGTN法语,cgtn.png,国际,233.50.201.37:5140,720x576
66,CGTN阿拉伯语,CGTN阿语,CGTN阿语,cgtn.png,国际,233.50.201.38:5140,720x576
67,CGTN俄罗斯语,CGTN俄语,CGTN俄语,cgtn.png,国际,233.50.201.39:5140,720x576
68,钱江频道,钱江频道,钱江频道,qianjiang.png,国际,233.50.201.132:5140,1920x1080
69,浙江经济生活,浙江经济生活,浙江经济生活,qianjiang.png,国际,233.50.201.133:5140,1920x1080
70,浙江教育,浙江教育,浙江教育,qianjiang.png,地方,233.50.201.134:5140,1920x1080
71,浙江民生,浙江民生,浙江民生,qianjiang.png,地方,233.50.201.136:5140,1920x1080
72,浙江公共新闻,浙江公共新闻,浙江公共新闻,,地方,233.50.201.137:5140,1920x1080
73,浙江少儿,浙江少儿,浙江少儿,,地方,233.50.201.138:5140,1920x1080
74,杭州1综合,杭州综合,杭州综合,htv1.png,地方,233.50.201.173:5140,1920x1080
75,杭州2明珠,杭州西湖明珠,杭州西湖明珠,htv2.png,地方,233.50.201.174:5140,1920x1080
76,杭州3生活,杭州生活,杭州生活,htv3.png,地方,233.50.201.175:5140,1920x1080
77,杭州4影视,杭州影视,杭州影视,htv4.png,地方,233.50.201.176:5140,1920x1080
78,杭州5青少,杭州青少,杭州青少,htv5.png,地方,233.50.201.177:5140,1920x1080
79,杭州导视,杭州导视,杭州导视,htvds.png,地方,233.50.201.182:5140,1920x1080
80,临平新闻,临平新闻,临平新闻,,地方,233.50.202.32:5140,720x576
81,余杭新闻,余杭新闻,余杭新闻,,地方,233.50.201.159:5140,720x576
82,宁波TV1,宁波TV1,宁波TV1,,地方,233.50.201.168:5140,1920x1080
83,宁波TV2,宁波TV2,宁波TV2,,地方,233.50.201.178:5140,1920x1080
84,宁波TV3,宁波TV3,宁波TV3,,地方,233.50.201.179:5140,1920x1080
85,宁波TV4,宁波TV4,宁波TV4,,地方,233.50.201.180:5140,1920x1080
86,温州新闻,温州新闻,温州新闻,,地方,233.50.201.87:5140,1920x1080
87,绍兴新闻综合,绍兴新闻综合,绍兴新闻综合,,地方,233.50.201.156:5140,1920x1080
88,湖州新闻综合,湖州新闻综合,湖州新闻综合,,地方,233.50.201.158:5140,720x576
89,金华新闻,金华新闻,金华新闻,,地方,233.50.201.161:5140,720x576
90,丽水新闻,丽水新闻,丽水新闻,,地方,233.50.201.162:5140,720x576
91,嘉兴新闻综合,嘉兴新闻综合,嘉兴新闻综合,,地方,233.50.201.163:5140,720x576
92,桐乡新闻,桐乡新闻,桐乡新闻,,地方,233.50.201.169:5140,720x576
93,之江记录,之江记录,之江记录,zjjl.png,地方,233.50.202.25:5140,1920x1080
